No.,Cat,Article,Article Name,MC2,MC5,Cat.,Remark
55,วัสดุก่อสร้าง,10337503,UAT-ยางหยอดร่องคอนกรีต พิดิจอยท์ 6690 12,DZD: ก่อสร้าง-อื่นๆ,DZD050201: ยางมะตอย,C08080502,new cat.
56,วัสดุก่อสร้าง,10337504,UAT-Vยางมะตอยสำเร็จรูป NASH สอบ 20กก,DZD: ก่อสร้าง-อื่นๆ,DZD050201: ยางมะตอย,C08080501,new cat.
61,วัสดุก่อสร้าง,10337767,"UAT-แปรงทาสี 4"" #635 PK",DNN: ระบบไฟและแสงสว่าง,DNN010224: แคล้ม,C08060302,new cat.
62,วัสดุก่อสร้าง,10337768,"UAT-ลูกกลิ้งทาสี 10"" NASH 30216",DNN: ระบบไฟและแสงสว่าง,DNN010224: แคล้ม,C08060304,new cat.
63,วัสดุก่อสร้าง,10337769,"UAT-ลูกกลิ้งทาสี 10"" NASH RTS-010",DNN: ระบบไฟและแสงสว่าง,DNN010224: แคล้ม,C08060304,new cat.
64,วัสดุก่อสร้าง,10337450,UAT-อิฐบล็อกคอนกรีต 7ซม.7x19x39 ซม.(เลท2,DZD: ก่อสร้าง-อื่นๆ,DZD030103: อิฐบล๊อก,C08210401,new cat.
65,งานระบบประปา,10337451,UAT-ถังน้ำพีอี BE1000 บาลานซ์,DZD: ก่อสร้าง-อื่นๆ,DZD130101: ถังน้ำพีอี,C17060101,new cat.
71,งานระบบประปา,10337456,"UAT-หัวอุด 13.5 ไม่มีเกลียว 4"" ดาว/A+",DVV: ประปา,DVV020234: หัวอุดPVC,C17070101,new cat.
72,งานระบบประปา,10337457,"UAT-หัวอุด 13.5 ไม่มีเกลียว 1/2"" TOP",DVV: ประปา,DVV020234: หัวอุดPVC,C17070101,new cat.
73,งานระบบประปา,10337458,UAT-เครื่องเชื่อมท่อ(PP-R)  D20-32 กรีนไ,DJJ: เครื่องมือช่าง,DJJ020101: เครื่องเชื่อม พีวีซี,C02090103,new cat.
74,งานระบบประปา,10337459,UAT-สตอปวาล์ว (PP-R)  D25 กรีนไปป์,DVV: ประปา,DVV020505: อปก. ติดตั้งท่อ PP-R,C02010701,new cat.
75,งานระบบประปา,10337460,UAT-ถังดักไขมัน BGT15 บาลานซ์,DZD: ก่อสร้าง-อื่นๆ,DZD130201: ถังดักไขมัน,C17060201,new cat.
76,งานระบบประปา,10337462,UAT-Vน้ำยาดับกลิ่นฆ่าเชื้อ 3500 มล.ไดวา,DAI: แผนกซุปเปอร์,DAI040102: น้ำยาถูพื้น,C03051304,new cat.
77,งานระบบประปา,10337463,"UAT-ก๊อกน้ำ PVC 1/2"" NASH",DVV: ประปา,DVV010505: ก๊อกPVC,C17070301,new cat.
78,งานระบบประปา,10337464,"UAT-ก๊อกน้ำ PVC 1/2"" NS8002 สีส้ม NASH",DVV: ประปา,DVV010505: ก๊อกPVC,C17070301,new cat.
79,งานระบบประปา,10337465,"UAT-ก๊อกแฟนซี 1/2"" ดำ A+",DVV: ประปา,DVV010502: ก๊อกแฟนซี,C17070301,new cat.
80,งานระบบประปา,10337466,"UAT-กิ๊บยึดผนัง P.V.C 11/2""",DVV: ประปา,DVV020239: กิ๊บยึดผนัง,C17070401,new cat.
81,งานระบบประปา,10337770,"UAT-กิ๊บยึดผนัง P.V.C 1""",DVV: ประปา,DVV020239: กิ๊บยึดผนัง,C17070401,new cat.
83,งานระบบประปา,10337468,UAT-ท่อPP-R PN-10 20มม. 4ม. กรีนไปป์,DVV: ประปา,DVV010102: ท่อ PP-R,C17070501,new cat.
84,งานระบบไฟฟ้า,10337469,UAT-ลูกล้อสายไฟ VCT 3x1.5x30ม. SONIC มอก,DNN: ระบบไฟและแสงสว่าง,DNN010408: สวิท หรี่ไฟ,C13100101,new cat.
86,งานระบบไฟฟ้า,10337471,UAT-สายทีวีกลม RG6 664X100ม. ขาว PM,DNN: ระบบไฟและแสงสว่าง,DNN010424: ขาแขวนทีวี,C13120101,new cat.
87,งานระบบไฟฟ้า,10337472,UAT-แผงโซล่าเซลล์ POLY 72 LI-156-330W LI,DNN: ระบบไฟและแสงสว่าง,DNN010501: แผงโซล่าร์เซลล์,C13120201,new cat.
88,งานระบบไฟฟ้า,10337473,"UAT-ท่ออ่อน PVC 3/8""X5ม.เหลือง",DNN: ระบบไฟและแสงสว่าง,DNN010219: เคเบิ้ลเทรย์,C13120301,new cat.
92,งานระบบไฟฟ้า,10337477,UAT-บล๊อคยาง 4X4 พร้อมปลั๊ก SCANER,DNN: ระบบไฟและแสงสว่าง,DNN010409: ลูกล้อสายไฟ,C13120401,new cat.
95,ประตูและหน้าต่าง,10337480,UAT-ปตมน.2บาน+มุ้ง 200x205 ALUGUARD ดำ,DZD: ก่อสร้าง-อื่นๆ,DZD151001: ประตูมิเนียมบานเลื่อ,C16012401,new cat.
